"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles"
"1",0.927284077196321,0.00316200004094081,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",1
"2",0.919832524137484,0.00278886820496914,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",2
"3",0.891338903501819,0.00344119541577085,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",3
"4",0.864769850473555,0.0040945931946143,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",4
"5",0.855219748262853,0.00414407412637311,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",5
"6",0.836662187958971,0.00411963270755251,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",6
"7",0.812641870320162,0.00473527801139199,"./pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","1yr",7
"8",0.923179483854674,0.00362033460452795,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",1
"9",0.927078700948376,0.00329756151993167,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",2
"10",0.889603985276813,0.00351691263464381,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",3
"11",0.887599037254457,0.00363458246549517,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",4
"12",0.864211732174225,0.00430844202777607,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",5
"13",0.857557121348714,0.00389163961803062,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",6
"14",0.847251119668995,0.00398331068219607,"./pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne600_Sd_GP","pheno","1000","2yr",7
"15",0.928000986044006,0.00520837043647014,"./pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","400","1yr",1
"16",0.925285822910291,0.004856909355044,"./pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","400","1yr",2
"17",0.872398495920575,0.00502396691150588,"./pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","400","1yr",3
"18",0.838062456379572,0.00518419563230339,"./pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","400","1yr",4
"19",0.803589817028973,0.00630205529637504,"./pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne600_Sd_GP","pheno","400","1yr",5
