"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"29",29,-0.00224072087446101,0.00765875376004061,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",1,"nDH24","Ne60","varE1"
"30",30,-0.00273011620524672,0.0071781758822341,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne60","varE1"
"31",31,0.624620554871324,0.00841059647079915,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne60","varE1"
"32",32,1.18541252553143,0.0122937971064132,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne60","varE1"
"33",33,1.74420624442637,0.0141685478438995,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne60","varE1"
"34",34,2.28413272488004,0.0170972926610587,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne60","varE1"
"35",35,2.83441154701236,0.019705768503447,"./rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne60","varE1"
"36",36,0.00746853364440551,0.00768702828912474,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",1,"nDH24","Ne60","varE1"
"37",37,-0.00319023647347691,0.00828981477424099,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne60","varE1"
"38",38,0.62981688997127,0.0123107916563953,"./rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP","rand",1000,"2yr",3,"nDH24","Ne60","varE1"
