"","Mean","Sd","SelectSP","NumPlots","Year","nGP","varE","Ne"
"pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP",5.61882331793732,0.78429147887612,"pheno","1000","1yr","nDH24","varE1","Ne60"
"pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP",3.80514130576067,0.833711561696804,"pheno","1000","2yr","nDH24","varE1","Ne60"
"pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP",5.13810066544441,0.736848458168713,"pheno","400","1yr","nDH24","varE1","Ne60"
"pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP",3.5227942427029,0.791415155163602,"pheno","400","2yr","nDH24","varE1","Ne60"
"rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP",2.83441154701236,0.862275038827867,"rand","1000","1yr","nDH24","varE1","Ne60"
"rand_1000_2yr_nDH24_varE1_Ne60_Mean_GP",1.81467399197962,0.886409391408383,"rand","1000","2yr","nDH24","varE1","Ne60"
"rand_400_1yr_nDH24_varE1_Ne60_Mean_GP",2.51304987742537,0.831302819252205,"rand","400","1yr","nDH24","varE1","Ne60"
"rand_400_2yr_nDH24_varE1_Ne60_Mean_GP",1.63127037946682,0.862918435973855,"rand","400","2yr","nDH24","varE1","Ne60"
"pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP",5.01818345087453,0.812641870320162,"pheno","1000","1yr","nDH24","varE1","Ne600"
"pheno_1000_2yr_nDH24_varE1_Ne600_Mean_GP",3.3826514072712,0.847251119668995,"pheno","1000","2yr","nDH24","varE1","Ne600"
"pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP",4.67928373726641,0.748419682019916,"pheno","400","1yr","nDH24","varE1","Ne600"
"pheno_400_2yr_nDH24_varE1_Ne600_Mean_GP",3.24277398952339,0.804427379314606,"pheno","400","2yr","nDH24","varE1","Ne600"
"rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP",2.2400948998553,0.906352017368373,"rand","1000","1yr","nDH24","varE1","Ne600"
"rand_1000_2yr_nDH24_varE1_Ne600_Mean_GP",1.35378643404061,0.924219838687505,"rand","1000","2yr","nDH24","varE1","Ne600"
"rand_400_1yr_nDH24_varE1_Ne600_Mean_GP",2.14340718959097,0.837658703825571,"rand","400","1yr","nDH24","varE1","Ne600"
"rand_400_2yr_nDH24_varE1_Ne600_Mean_GP",1.27544942899515,0.896143021099453,"rand","400","2yr","nDH24","varE1","Ne600"
"pheno_1000_1yr_nDH24_varE4_Ne60_Mean_GP",4.06763911216915,0.850355156264159,"pheno","1000","1yr","nDH24","varE4","Ne60"
"pheno_1000_2yr_nDH24_varE4_Ne60_Mean_GP",2.72251771987451,0.886946250316585,"pheno","1000","2yr","nDH24","varE4","Ne60"
"pheno_400_1yr_nDH24_varE4_Ne60_Mean_GP",3.63776292305961,0.780321612080011,"pheno","400","1yr","nDH24","varE4","Ne60"
"pheno_400_2yr_nDH24_varE4_Ne60_Mean_GP",2.5142933137558,0.863196808454613,"pheno","400","2yr","nDH24","varE4","Ne60"
"rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP",2.27262967779635,0.891338381343649,"rand","1000","1yr","nDH24","varE4","Ne60"
"rand_1000_2yr_nDH24_varE4_Ne60_Mean_GP",1.42417029756828,0.920543426011345,"rand","1000","2yr","nDH24","varE4","Ne60"
"rand_400_1yr_nDH24_varE4_Ne60_Mean_GP",1.94607230025095,0.847981008596432,"rand","400","1yr","nDH24","varE4","Ne60"
"rand_400_2yr_nDH24_varE4_Ne60_Mean_GP",1.20380456186319,0.903475728755776,"rand","400","2yr","nDH24","varE4","Ne60"
"pheno_1000_1yr_nDH24_varE4_Ne600_Mean_GP",3.62818504714665,0.872425243866239,"pheno","1000","1yr","nDH24","varE4","Ne600"
"pheno_1000_2yr_nDH24_varE4_Ne600_Mean_GP",2.37316931529981,0.907055272488083,"pheno","1000","2yr","nDH24","varE4","Ne600"
"pheno_400_1yr_nDH24_varE4_Ne600_Mean_GP",3.36284298026741,0.79944199164479,"pheno","400","1yr","nDH24","varE4","Ne600"
"pheno_400_2yr_nDH24_varE4_Ne600_Mean_GP",2.16979104186734,0.861535201342653,"pheno","400","2yr","nDH24","varE4","Ne600"
"rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP",1.82349289264574,0.922926948889431,"rand","1000","1yr","nDH24","varE4","Ne600"
"rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP",1.0273886512259,0.950465637623882,"rand","1000","2yr","nDH24","varE4","Ne600"
"rand_400_1yr_nDH24_varE4_Ne600_Mean_GP",1.63877112604567,0.848594378090346,"rand","400","1yr","nDH24","varE4","Ne600"
"rand_400_2yr_nDH24_varE4_Ne600_Mean_GP",1.00999221704934,0.924582325040406,"rand","400","2yr","nDH24","varE4","Ne600"
"pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP",6.94460837840761,0.692437244134357,"pheno","1000","1yr","nDH96","varE1","Ne60"
"pheno_1000_2yr_nDH96_varE1_Ne60_Mean_GP",4.75790213124672,0.760515115334989,"pheno","1000","2yr","nDH96","varE1","Ne60"
