"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"1",0.923984458339392,0.00343454188282664,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",1,"nDH24","Ne60","varE1"
"2",0.923523844337922,0.00299828548850995,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",2,"nDH24","Ne60","varE1"
"3",0.879191311009531,0.0037146729572959,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",3,"nDH24","Ne60","varE1"
"4",0.861675404672093,0.0043027932363821,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",4,"nDH24","Ne60","varE1"
"5",0.833199441402481,0.00399431363966127,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",5,"nDH24","Ne60","varE1"
"6",0.813632821375657,0.0043883094053605,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",6,"nDH24","Ne60","varE1"
"7",0.78429147887612,0.00492420519380845,"./pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"1yr",7,"nDH24","Ne60","varE1"
"8",0.92780549448746,0.00313624228258766,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",1,"nDH24","Ne60","varE1"
"9",0.925454253688776,0.00355436018771047,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",2,"nDH24","Ne60","varE1"
"10",0.887853818987033,0.00370258002202896,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",3,"nDH24","Ne60","varE1"
"11",0.890867574147841,0.0039673159868163,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",4,"nDH24","Ne60","varE1"
"12",0.854875818906876,0.0034771310819282,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",5,"nDH24","Ne60","varE1"
"13",0.856896989056231,0.00417026645466514,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",6,"nDH24","Ne60","varE1"
"14",0.833711561696804,0.00345126458181115,"./pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Sd_GP","pheno",1000,"2yr",7,"nDH24","Ne60","varE1"
"15",0.925497895052316,0.00579045653394242,"./pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"1yr",1,"nDH24","Ne60","varE1"
"16",0.926409716876619,0.00581765657159611,"./pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"1yr",2,"nDH24","Ne60","varE1"
"17",0.871171948693011,0.0050750961260785,"./pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"1yr",3,"nDH24","Ne60","varE1"
"18",0.836025547303585,0.00555876571416772,"./pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Sd_GP","pheno",400,"1yr",4,"nDH24","Ne60","varE1"
