"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"1",0.927963768884076,0.00336266296550946,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",1,"nDH96","Ne60","varE1"
"2",0.926758597209294,0.00319260285743081,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",2,"nDH96","Ne60","varE1"
"3",0.852031603061633,0.00360802958370214,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",3,"nDH96","Ne60","varE1"
"4",0.805324733622167,0.00395933633932532,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",4,"nDH96","Ne60","varE1"
"5",0.761060275060948,0.00466659195057706,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",5,"nDH96","Ne60","varE1"
"6",0.72591470369886,0.00469927260470957,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",6,"nDH96","Ne60","varE1"
"7",0.692437244134357,0.00453139204896485,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",7,"nDH96","Ne60","varE1"
"8",0.92337183774334,0.0032969431480732,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",1,"nDH96","Ne60","varE1"
"9",0.922262459586752,0.00356463598853815,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",2,"nDH96","Ne60","varE1"
"10",0.853041925388688,0.00332430761862647,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",3,"nDH96","Ne60","varE1"
"11",0.842338747117069,0.00365400093356619,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",4,"nDH96","Ne60","varE1"
"12",0.803127766556874,0.00379838928106127,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",5,"nDH96","Ne60","varE1"
