"","Mean","Sd","SelectSP","NumPlots","Year","nGP","varE","Ne"
"pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP",5.42169958816766,0.783906775154227,"pheno","1000","1yr","nDH24","varE1","Ne60"
"pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP",5.0322334183577,0.760592415938303,"pheno","400","1yr","nDH24","varE1","Ne60"
"rand_1000_1yr_nDH24_varE1_Ne60_Mean_GP",2.80744693729004,0.883754701198629,"rand","1000","1yr","nDH24","varE1","Ne60"
"rand_400_1yr_nDH24_varE1_Ne60_Mean_GP",2.43723277064771,0.831800461149872,"rand","400","1yr","nDH24","varE1","Ne60"
"pheno_1000_1yr_nDH24_varE1_Ne600_Mean_GP",4.69834311803901,0.8108192737275,"pheno","1000","1yr","nDH24","varE1","Ne600"
"pheno_400_1yr_nDH24_varE1_Ne600_Mean_GP",4.62476905830211,0.754728096286626,"pheno","400","1yr","nDH24","varE1","Ne600"
"rand_1000_1yr_nDH24_varE1_Ne600_Mean_GP",1.93321266144211,0.928355209075825,"rand","1000","1yr","nDH24","varE1","Ne600"
"rand_400_1yr_nDH24_varE1_Ne600_Mean_GP",2.08945550982035,0.865119595176369,"rand","400","1yr","nDH24","varE1","Ne600"
"pheno_1000_1yr_nDH24_varE4_Ne60_Mean_GP",3.98092339713202,0.841977903283762,"pheno","1000","1yr","nDH24","varE4","Ne60"
"pheno_400_1yr_nDH24_varE4_Ne60_Mean_GP",3.43693333062556,0.807164241001077,"pheno","400","1yr","nDH24","varE4","Ne60"
"rand_1000_1yr_nDH24_varE4_Ne60_Mean_GP",2.16175032180182,0.906733097118229,"rand","1000","1yr","nDH24","varE4","Ne60"
"rand_400_1yr_nDH24_varE4_Ne60_Mean_GP",1.98679882656009,0.859770196511117,"rand","400","1yr","nDH24","varE4","Ne60"
"pheno_1000_1yr_nDH24_varE4_Ne600_Mean_GP",3.40889185207208,0.873376287535213,"pheno","1000","1yr","nDH24","varE4","Ne600"
"pheno_400_1yr_nDH24_varE4_Ne600_Mean_GP",3.16638573885282,0.78842073643856,"pheno","400","1yr","nDH24","varE4","Ne600"
"rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP",1.54522246086197,0.944267740513616,"rand","1000","1yr","nDH24","varE4","Ne600"
"rand_400_1yr_nDH24_varE4_Ne600_Mean_GP",1.74003871318296,0.86309141515721,"rand","400","1yr","nDH24","varE4","Ne600"
"pheno_1000_1yr_nDH96_varE1_Ne60_Mean_GP",6.79491489123591,0.715092655511733,"pheno","1000","1yr","nDH96","varE1","Ne60"
"pheno_400_1yr_nDH96_varE1_Ne60_Mean_GP",5.94161706131965,0.624940691535659,"pheno","400","1yr","nDH96","varE1","Ne60"
"rand_1000_1yr_nDH96_varE1_Ne60_Mean_GP",4.79773674815226,0.759896985488552,"rand","1000","1yr","nDH96","varE1","Ne60"
"rand_400_1yr_nDH96_varE1_Ne60_Mean_GP",4.2675150108986,0.694407570428204,"rand","400","1yr","nDH96","varE1","Ne60"
"pheno_1000_1yr_nDH96_varE1_Ne600_Mean_GP",5.73427541909985,0.718739331563663,"pheno","1000","1yr","nDH96","varE1","Ne600"
"pheno_400_1yr_nDH96_varE1_Ne600_Mean_GP",4.94143004871783,0.633469727296976,"pheno","400","1yr","nDH96","varE1","Ne600"
"rand_1000_1yr_nDH96_varE1_Ne600_Mean_GP",3.59457493930404,0.783841087522931,"rand","1000","1yr","nDH96","varE1","Ne600"
"rand_400_1yr_nDH96_varE1_Ne600_Mean_GP",3.37284890791039,0.687180868856491,"rand","400","1yr","nDH96","varE1","Ne600"
"pheno_1000_1yr_nDH96_varE4_Ne60_Mean_GP",5.17905036038772,0.734580811853499,"pheno","1000","1yr","nDH96","varE4","Ne60"
"pheno_400_1yr_nDH96_varE4_Ne60_Mean_GP",4.31136865952685,0.633182069174674,"pheno","400","1yr","nDH96","varE4","Ne60"
"rand_1000_1yr_nDH96_varE4_Ne60_Mean_GP",3.83828558271176,0.763513938473442,"rand","1000","1yr","nDH96","varE4","Ne60"
"rand_400_1yr_nDH96_varE4_Ne60_Mean_GP",3.13425784855621,0.655523603387642,"rand","400","1yr","nDH96","varE4","Ne60"
"pheno_1000_1yr_nDH96_varE4_Ne600_Mean_GP",4.29470903520167,0.723068076513831,"pheno","1000","1yr","nDH96","varE4","Ne600"
"pheno_400_1yr_nDH96_varE4_Ne600_Mean_GP",3.47370202572602,0.606219002910947,"pheno","400","1yr","nDH96","varE4","Ne600"
"rand_1000_1yr_nDH96_varE4_Ne600_Mean_GP",2.92768750687712,0.773315051886941,"rand","1000","1yr","nDH96","varE4","Ne600"
"rand_400_1yr_nDH96_varE4_Ne600_Mean_GP",2.38133261998194,0.626230169068894,"rand","400","1yr","nDH96","varE4","Ne600"
