"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.704714113499627,0.015878433996423,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"3",1.72162154140123,0.02655546456536,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"4",2.69228338312114,0.0361836409809153,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"5",3.61913702371176,0.0461078654560733,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"6",4.55613270662883,0.0503405707523453,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"7",5.42169958816766,0.054258123154624,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"8",6.28066967228489,0.0599936188459056,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"9",7.10924461137013,0.0638818128817993,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",9,"nDH24","Ne=60","heritability: 0.5"
"10",7.91172139405968,0.0634416898066012,"./pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"1yr",10,"nDH24","Ne=60","heritability: 0.5"
"12",0.750455817439826,0.013669971234935,"./pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"14",1.81605131838511,0.0276108017503887,"./pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
"16",2.79747734748749,0.0430443673695781,"./pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"2yr",6,"nDH24","Ne=60","heritability: 0.5"
"18",3.75153479894284,0.0418781072616849,"./pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"2yr",8,"nDH24","Ne=60","heritability: 0.5"
"20",4.6925022211305,0.0494448764009061,"./pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_1000_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",1000,"2yr",10,"nDH24","Ne=60","heritability: 0.5"
"22",0.736043150249787,0.0244424833005886,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",2,"nDH24","Ne=60","heritability: 0.5"
"23",1.66226733436329,0.034749140168165,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",3,"nDH24","Ne=60","heritability: 0.5"
"24",2.5848004514565,0.0524717590533774,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",4,"nDH24","Ne=60","heritability: 0.5"
"25",3.46038025044274,0.0546642253395068,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",5,"nDH24","Ne=60","heritability: 0.5"
"26",4.27451525465716,0.0588322842687644,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",6,"nDH24","Ne=60","heritability: 0.5"
"27",5.0322334183577,0.0603385736826401,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",7,"nDH24","Ne=60","heritability: 0.5"
"28",5.78737841166514,0.0750492054492642,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",8,"nDH24","Ne=60","heritability: 0.5"
"29",6.55004735167519,0.0854307385052028,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",9,"nDH24","Ne=60","heritability: 0.5"
"30",7.21323459499247,0.0921227495895728,"./pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_1yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"1yr",10,"nDH24","Ne=60","heritability: 0.5"
"32",0.653164034725943,0.0198026291414845,"./pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"2yr",2,"nDH24","Ne=60","heritability: 0.5"
"34",1.60892625527011,0.0505922007658591,"./pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP.csv","pheno_400_2yr_nDH24_varE1_Ne60_Mean_GP","pheno",400,"2yr",4,"nDH24","Ne=60","heritability: 0.5"
