"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.560053884963306,0.00890534091156888,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"3",0.572172612631787,0.00972921153127327,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"4",0.589661730038136,0.0081849265209901,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"5",0.592128119035307,0.00858438032885258,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"6",0.601662238955908,0.00815479606847878,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"7",0.605939090161989,0.00863124044813759,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"8",0.600576966073069,0.00615596120283291,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"10",0.611390881077126,0.00660662168160779,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"12",0.608948633634483,0.00775677996183976,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"14",0.618260782833255,0.00840537864648456,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPcor_Reps","pheno",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
