"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",1.74710364898415,0.00737154558242215,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"3",1.74191131435993,0.00650610898412691,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"4",1.73446888027889,0.00730988434169341,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"5",1.75364640408427,0.00616562794231001,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"6",1.74834376118577,0.00621465901041326,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"7",1.75386721092541,0.00554048999073978,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"8",1.74989669913432,0.00688362793173539,"./pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"10",1.75287732162639,0.00871813325342271,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"12",1.76147905369188,0.00808647850458141,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"14",1.73702319975202,0.00446435376275314,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"16",1.75339146028949,0.00704782832220578,"./pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"18",1.72063054935413,0.0145684858105302,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"19",1.72867237642462,0.0109211370963735,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"20",1.72968759228543,0.0122517147584873,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"21",1.76835651780278,0.0131546016699928,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"22",1.7152919072387,0.0100322273075686,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"23",1.73873395254268,0.00917626893587691,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"24",1.72692307154914,0.0113800917465254,"./pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"26",1.74985041296268,0.0132101180709676,"./pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"28",1.717301065652,0.0079608340971644,"./pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"30",1.71231289544075,0.0127378551378281,"./pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"32",1.74662041467365,0.010661870110222,"./pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne60_GPselInt_Reps","pheno",400,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"34",1.75139316065034,0.0100558138405749,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"35",1.74986495657424,0.00561074573869115,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"36",1.75887024771742,0.00736255920735665,"./rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne60_GPselInt_Reps","rand",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
