"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"2",0.925878554204502,0.00901820085671178,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"3",0.870865790036333,0.00790051372059965,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"4",0.806431671673197,0.0111613303166401,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"5",0.766566980149551,0.00964903904135163,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"6",0.736840674148642,0.0118399080255721,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"7",0.715092655511733,0.010151116089026,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"8",0.676596996730669,0.00827097246903788,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"9",0.643656791614097,0.0108144765959584,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",9,"nDH96","Ne=60","heritability: 0.5"
"10",0.60949614271217,0.0107382867987955,"./pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"1yr",10,"nDH96","Ne=60","heritability: 0.5"
"12",0.924565232899264,0.00616532232057818,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.5"
"14",0.84266468288807,0.00924211665568488,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.5"
"16",0.795899668434458,0.00978268863479811,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.5"
"18",0.754839556561631,0.0102137503424627,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.5"
"20",0.718953873478657,0.0116081753230977,"./pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_1000_2yr_nDH96_varE1_Ne60_Sd_GP","pheno",1000,"2yr",10,"nDH96","Ne=60","heritability: 0.5"
"22",0.91089308687641,0.0133771958084108,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",2,"nDH96","Ne=60","heritability: 0.5"
"23",0.845515873133777,0.0107392938080042,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",3,"nDH96","Ne=60","heritability: 0.5"
"24",0.771096064805786,0.0140141708580175,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",4,"nDH96","Ne=60","heritability: 0.5"
"25",0.71116879690344,0.0135956617670814,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",5,"nDH96","Ne=60","heritability: 0.5"
"26",0.669297258940216,0.0124823734518467,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",6,"nDH96","Ne=60","heritability: 0.5"
"27",0.624940691535659,0.0130237556435592,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",7,"nDH96","Ne=60","heritability: 0.5"
"28",0.566963222640313,0.0164739425801536,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",8,"nDH96","Ne=60","heritability: 0.5"
"29",0.530724844559589,0.0166797810657393,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",9,"nDH96","Ne=60","heritability: 0.5"
"30",0.499483354261192,0.0149164510380424,"./pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP.csv","pheno_400_1yr_nDH96_varE1_Ne60_Sd_GP","pheno",400,"1yr",10,"nDH96","Ne=60","heritability: 0.5"
