"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0.434300292401083,0.236782082749718,0.392621762037418,0.335483827420369,0.261529574445365,0.398518524194893,0.507587900603488,0.211391483310933,0.492462042742137,0.593331202740071,0.270047887068157,0.271065045321777,0.420146667638004,0.563803717571391,0.615159917704157,0.467123784359206,0.410179441387667,0.520279187496856,0.433026572460969,0.398253318819521
"2",0.364029616271328,0.351564176159989,0.4728531192723,0.178210595368774,0.339197768424196,0.290010267630995,0.511402918516052,0.415341964032237,0.393120403846267,0.57325202118715,0.41236546780924,0.572088891984413,0.245946381854474,0.515577723398397,0.401033376367402,0.391502407159487,0.423532658654744,0.423926171520344,0.314621773422421,0.54793609799826
"3",1.05912998814658,0.642546746229763,1.4031711611365,0.814937592985199,1.53999659242182,0.92053107168734,1.31992627377439,1.33394478253185,1.23595840548777,1.23739076683765,1.0007421774255,1.3252176077519,0.753094864807096,1.19381570413194,1.07202975529399,0.589415715123173,1.34497684327635,1.12049737943455,1.01361454560309,1.21539338896745
"4",1.44440360692005,1.136748756278,2.45590333129003,1.39039784982073,2.6358654167774,1.74894176816469,1.9393049333038,2.13880700790138,2.13692939896127,1.77246135089967,2.43857630875271,1.78658608666472,1.12621396075053,1.86730752837672,1.9502826817047,1.0555739315765,2.09504460957227,1.83711887942228,2.13154520879363,1.76440985120834
"5",1.97941137609334,1.81573447726805,3.6649748756682,1.86613704659871,3.43787185892659,2.47238730525058,2.24530188925485,2.7615442993057,2.40702964469399,2.69081238760644,3.17740889765085,2.2236977687806,1.87682097570794,2.35242137135661,2.34472445491233,1.62512066453221,2.73258237031116,2.84408314039143,3.35697755601178,2.59541177185282
"6",2.56738756657357,2.54410219705769,3.96835400508716,2.17774694016275,3.98731185019827,3.06147672168421,2.99158607727112,2.92205697880317,2.66431683127108,3.17960898366319,3.71027105275976,2.56061717617035,2.40783999401908,2.56256311954377,2.46936105402816,2.28029598955905,3.21050236787598,3.38720130237269,4.05178674244171,3.13428887207076
"7",3.17312493279858,3.24098140506449,4.2271489080241,2.69630267982871,4.28802947593331,3.61103568846667,3.44215506114033,3.23047148181628,3.41119917014112,3.6478024612855,4.46119437902269,3.22313229659895,3.03513998328068,2.92163355345307,2.56667935650002,2.79994325820954,3.61003451377959,3.81602941524623,4.56909791471627,3.50290457921432
"8",3.69254125669434,3.86750136738482,4.33418208357741,2.91103635939229,4.75714682593443,4.05825027373116,3.75243877805758,3.3529357889134,3.81724112608032,4.103142187536,4.79925023935111,3.89829354882081,3.60947128828677,3.39484340765964,2.90915651028598,3.09048450531824,3.96167779643788,4.15158069460253,5.00664876336165,3.96785096563175
"9",4.18016237201172,4.40648587029813,4.65241714602042,3.21503125470565,5.27160219120643,4.29613936576422,4.13198326559013,3.49936959026923,4.36006946093108,4.46772782671832,5.32830851513605,4.09521868945886,3.9788032754895,3.92634099246763,2.97171465115414,3.22671121038789,4.3304774180705,4.60034349459957,5.22052697481854,4.22448508727777
"10",4.53693238316059,4.96623904303481,5.08156354418243,3.77092210887837,5.59652406310823,4.6701187775539,4.61868653750339,3.76916274773418,4.82596448536487,4.71206274536463,5.79210629254234,4.58700545297545,4.25595212868092,4.35398523841195,3.02387484356529,3.49530469699149,4.74721553693196,5.10669182223407,5.73619716479674,4.39928667453179
