"","Mean","SD","Selection","Shorten","SelectSP","TestSP","Year","Cycles"
"1",0.701630348118701,0.0267261848003694,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",1
"2",0.699225520473547,0.000191148003113736,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",2
"3",0.707433010974156,0.0461173147612014,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",3
"4",0.653522140583096,0.0667503427363574,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",4
"5",0.615514120109494,0.0506558927076224,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",5
"6",0.609355079950372,0.0790749903968708,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",6
"7",0.619038284249749,0.0466676460229488,"./pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","1yr",7
"8",0.690347935420627,0.00121199103076468,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",1
"9",0.725326235294866,0.0150009775838475,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",2
"10",0.644344634639368,0.0400396215212851,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",3
"11",0.650632511931052,0.038212337879309,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",4
"12",0.653077285518219,0.0302711792294656,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",5
"13",0.641625710308373,0.00738104059019357,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",6
"14",0.63331971467437,0.0172057353843327,"./pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","1000","2yr",7
"15",0.701506203122169,0.0368427787499228,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",1
"16",0.709882206833315,0.0536778705122707,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",2
"17",0.676409381593667,0.0172759540419614,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",3
"18",0.681118397895981,0.0871130464718104,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",4
"19",0.604117641318112,0.00113408043126082,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",5
"20",0.575691899821382,0.0273660239862237,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",6
"21",0.5223420736585,0.0460919444792676,"./pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_1yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","1yr",7
"22",0.711700542192122,0.0164404636777639,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",1
"23",0.751954962133836,0.0334578765019452,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",2
"24",0.70042232069262,0.107261530925486,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",3
"25",0.705905448042258,0.0938302329802537,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",4
"26",0.620801321310112,0.0550053874344707,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",5
"27",0.603796766384392,0.081519550773947,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",6
"28",0.626250842470762,0.0710031143729798,"./pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","pheno_400_2yr_nDH25_varE5.67_Ne600_Sd_g","pheno","400","2yr",7
"29",0.703289929467167,0.0165962159594832,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",1
"30",0.714458687678627,0.0200307923127473,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",2
"31",0.65389665188592,0.00932912712373516,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",3
"32",0.64715037327486,0.0772826011523175,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",4
"33",0.647731553297773,0.0729565856669837,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",5
"34",0.687974737116885,0.0852349897196066,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",6
"35",0.693800150812885,0.0671763351212063,"./rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","1yr",7
"36",0.69904571738352,0.0146847032488224,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",1
"37",0.714965624948682,0.0230665798234998,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",2
"38",0.693584254996755,0.0473837266426578,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",3
"39",0.646975182232095,0.0132672587636556,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",4
"40",0.666114973032256,0.00999718210962762,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",5
"41",0.62244868980203,0.00917902359065504,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",6
"42",0.691135007366624,0.0157114718177354,"./rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_1000_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","1000","2yr",7
"43",0.679069596396508,0.0750036960134332,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",1
"44",0.696722747141528,0.00572767720263882,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",2
"45",0.624906384182099,0.090779903336027,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",3
"46",0.600731633547801,0.0165111128088495,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",4
"47",0.592384409614972,0.024270362538134,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",5
"48",0.603860099586542,0.00188770635104521,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",6
"49",0.611701814137152,0.021094497420347,"./rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_1yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","1yr",7
"50",0.687081652533788,0.000974935808215862,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",1
"51",0.725745318554754,0.00477180939854512,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",2
"52",0.707267643765278,0.0725760584872883,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",3
"53",0.723570845097521,0.0388141852729911,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",4
"54",0.643006423602731,0.0343652830832338,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",5
"55",0.705363709294647,0.0136368255284099,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",6
"56",0.574448448340334,0.013127662380454,"./rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g.csv","rand_400_2yr_nDH25_varE5.67_Ne600_Sd_g","rand","400","2yr",7
