"","Mean","SD","Selection","Shorten","SelectSP","TestSP","Year","Cycles"
"1",0.000134166715560699,0.0242234006114355,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",1
"2",0.00707667554303565,0.0299841961924531,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",2
"3",1.25735432292701,0.174844265350226,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",3
"4",2.50869612446986,0.655307463700682,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",4
"5",3.45464425685817,0.498751698390882,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",5
"6",4.40629615224147,0.0405208912428756,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",6
"7",5.35092347300642,0.309743759285457,"./pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","1yr",7
"8",0.0157037469154763,0.033099575456299,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",1
"9",0.0329236000437644,0.0134635567874699,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",2
"10",1.35230652299918,0.0288359059864195,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",3
"11",1.33632926464845,0.125128611797675,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",4
"12",2.74178429353272,0.401798333403729,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",5
"13",2.22772908104589,0.0952484376895357,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",6
"14",3.13582745488695,0.204563134898143,"./pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Mean_g","pheno","1000","2yr",7
"15",0.0211492017723942,0.0213800837430067,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",1
"16",0.0147012975058674,0.0395706090554201,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",2
"17",1.2016535659869,0.279518964815551,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",3
"18",1.9431494749693,0.0731219163751935,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",4
"19",3.00050669042217,0.146019848681645,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",5
"20",3.7568005437302,0.0887208596256261,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",6
"21",4.43497701668714,0.061693343937153,"./pheno_400_1yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Mean_g","pheno","400","1yr",7
"22",-0.0020716814266066,0.0399695622048653,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",1
"23",0.0807258997867346,0.0253754179877891,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",2
"24",0.977991670518807,0.59824236871475,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",3
"25",1.38659599600346,0.161233640269598,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",4
"26",1.92833329924288,0.777010871032682,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",5
"27",2.71501530913102,0.25819426047508,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",6
"28",2.86681990033615,0.949965972598241,"./pheno_400_2yr_nDH96_varE2_Ne600_Mean_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Mean_g","pheno","400","2yr",7
"29",-0.00518835512411688,0.0107054413408094,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",1
"30",0.00530064658873535,0.03761419642067,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",2
"31",0.758226950574358,0.0419703149099804,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",3
"32",1.72274982204951,0.091673433977348,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",4
"33",2.32500814784238,0.00799430525564259,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",5
"34",2.92186182683038,0.139252127512567,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",6
"35",3.66060614829363,0.380747213359933,"./rand_1000_1yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_1yr_nDH96_varE2_Ne600_Mean_g","rand","1000","1yr",7
"36",0.0240842822805818,0.0287766327656337,"./rand_1000_2yr_nDH96_varE2_Ne600_Mean_g.csv","rand_1000_2yr_nDH96_varE2_Ne600_Mean_g","rand","1000","2yr",1
