,Mean,SD,Selection,Shorten,SelectSP,TestSP,Year,Cycles,nDH,Ne,varE
1,-0.004480317,0.020938293,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,1,nDH96,Ne60,varE1.22
2,-2.00E-05,0.021695598,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,2,nDH96,Ne60,varE1.22
3,1.447191309,0.154479378,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,3,nDH96,Ne60,varE1.22
4,2.693616078,0.278398746,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,4,nDH96,Ne60,varE1.22
5,3.808937907,0.321699064,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,5,nDH96,Ne60,varE1.22
6,4.863825714,0.337389818,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,6,nDH96,Ne60,varE1.22
7,5.869963384,0.348299186,./pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,1yr,7,nDH96,Ne60,varE1.22
8,-0.000637525,0.023593888,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,1,nDH96,Ne60,varE1.22
9,0.000618111,0.023170918,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,2,nDH96,Ne60,varE1.22
10,1.460572798,0.128416183,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,3,nDH96,Ne60,varE1.22
11,1.541093641,0.145063148,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,4,nDH96,Ne60,varE1.22
12,2.751667088,0.217719233,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,5,nDH96,Ne60,varE1.22
13,2.8302005,0.255910902,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,6,nDH96,Ne60,varE1.22
14,3.928957932,0.282299403,./pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_1000_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,1000,2yr,7,nDH96,Ne60,varE1.22
15,0.002187102,0.047294901,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,1,nDH96,Ne60,varE1.22
16,0.004762618,0.046565777,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,2,nDH96,Ne60,varE1.22
17,1.226638434,0.230808796,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,3,nDH96,Ne60,varE1.22
18,2.316210566,0.34160414,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,4,nDH96,Ne60,varE1.22
19,3.273777835,0.400454078,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,5,nDH96,Ne60,varE1.22
20,4.180035209,0.456272243,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,6,nDH96,Ne60,varE1.22
21,5.004955719,0.507394777,./pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_1yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,1yr,7,nDH96,Ne60,varE1.22
22,-0.004236298,0.047397097,./pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,2yr,1,nDH96,Ne60,varE1.22
23,-0.004679803,0.043353234,./pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,2yr,2,nDH96,Ne60,varE1.22
24,1.284590369,0.223537352,./pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,2yr,3,nDH96,Ne60,varE1.22
25,1.318669984,0.239940216,./pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g.csv,pheno_400_2yr_nDH96_varE1.22_Ne60_Mean_g,pheno,400,2yr,4,nDH96,Ne60,varE1.22
