"","Mean","SD","Selection","Shorten","SelectSP","TestSP","Year","Cycles"
"1","0.709063824646671","0.015688212995547","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",1
"2","0.708049026294002","0.0163228373637311","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",2
"3","0.645076906974046","0.0438739152635891","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",3
"4","0.581403951426038","0.0490845643490253","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",4
"5","0.534887239771824","0.0591208397409658","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",5
"6","0.494187285176003","0.0635940812490975","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",6
"7","0.469842140017732","0.0641765162363101","./pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_1yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","1yr",7
"8","0.70723463928666","0.0147944901357208","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",1
"9","0.707196693094105","0.0142105480329712","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",2
"10","0.6346010843157","0.0464042723931173","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",3
"11","0.63920314172805","0.0546737603638269","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",4
"12","0.575683770421258","0.0412038505326974","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",5
"13","0.564501138762087","0.0718770983306598","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",6
"14","0.538659346715328","0.0502864686896291","./pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_1000_2yr_nDH96_varE2_Ne600_Sd_g","pheno","1000","2yr",7
"15","0.705290203979932","0.0264352382684836","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",1
"16","0.706142433538028","0.0316962670872387","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",2
"17","0.63179167989897","0.0718508954336152","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",3
"18","0.534986365620304","0.070565878466616","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",4
"19","0.488384933232253","0.0691180462146652","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",5
"20","0.454799043618801","0.0781326826387552","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",6
"21","0.406759014096937","0.0763301325724072","./pheno_400_1yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_1yr_nDH96_varE2_Ne600_Sd_g","pheno","400","1yr",7
"22","0.704470880937763","0.0330107388541135","./pheno_400_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Sd_g","pheno","400","2yr",1
"23","0.708132291967278","0.0301089572205255","./pheno_400_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Sd_g","pheno","400","2yr",2
"24","0.631709346018743","0.0593004217322143","./pheno_400_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Sd_g","pheno","400","2yr",3
"25","0.63706836508082","0.0693142520976631","./pheno_400_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Sd_g","pheno","400","2yr",4
"26","0.55123068888282","0.0700510971225935","./pheno_400_2yr_nDH96_varE2_Ne600_Sd_g.csv","pheno_400_2yr_nDH96_varE2_Ne600_Sd_g","pheno","400","2yr",5
